"","X.2","X.1","X","predator","prey","ra","site","sex","age","year","color","temperature","clouds","precipitation","cover_snow","weight","fat","muscle","winds","fresh_snow","clouds_height","snow_height","elevation","wing","p8","tarsus","beak_colour","first_reaction","provoking","flapping","time_min","time_hour","day","month","timekey","key_m100","capture_day","sex_genetics","clean_species","present_in_site.x","otu_phylum","otu_class","otu_order","otu_family","otu_genus","otu_species","present_in_site.y","anthropogenic.x","anthropogenic.y","anthropogenic"
"1269",1269,1269,1269,"N630740","otu839",5,"Tiefenbach","m",6,2024,"black","-2",8,"no",97,37,3,2,0,"30",NA,NA,2102,122,97,21.5,9.5,NA,NA,NA,35,17,27,3,"2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27","m","unclassified",NA,"Streptophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","Unclassified",NA,FALSE,FALSE,FALSE
"1270",1270,1270,1270,"N630740","otu10",19158,"Tiefenbach","m",6,2024,"black","-2",8,"no",97,37,3,2,0,"30",NA,NA,2102,122,97,21.5,9.5,NA,NA,NA,35,17,27,3,"2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27","m","unclassified",NA,"Streptophyta","Magnoliopsida","Poales","Poaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1271",1271,1271,1271,"N630740","otu118",608,"Tiefenbach","m",6,2024,"black","-2",8,"no",97,37,3,2,0,"30",NA,NA,2102,122,97,21.5,9.5,NA,NA,NA,35,17,27,3,"2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27","m","unclassified",NA,"Streptophyta","Magnoliopsida","Fagales","Betulaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1272",1272,1272,1272,"N630740","otu259",68,"Tiefenbach","m",6,2024,"black","-2",8,"no",97,37,3,2,0,"30",NA,NA,2102,122,97,21.5,9.5,NA,NA,NA,35,17,27,3,"2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27","m","unclassified",NA,"Streptophyta","Magnoliopsida","Unclassified","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1273",1273,1273,1273,"N630740","otu160",435,"Tiefenbach","m",6,2024,"black","-2",8,"no",97,37,3,2,0,"30",NA,NA,2102,122,97,21.5,9.5,NA,NA,NA,35,17,27,3,"2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27","m","unclassified",NA,"Streptophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Saxifraga","Unclassified",NA,FALSE,FALSE,FALSE
"1274",1274,1274,1274,"N630740","otu50",22,"Tiefenbach","m",6,2024,"black","-2",8,"no",97,37,3,2,0,"30",NA,NA,2102,122,97,21.5,9.5,NA,NA,NA,35,17,27,3,"2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27","m","unclassified",NA,"Streptophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1275",1275,1275,1275,"N630740","otu146",1371,"Tiefenbach","m",6,2024,"black","-2",8,"no",97,37,3,2,0,"30",NA,NA,2102,122,97,21.5,9.5,NA,NA,NA,35,17,27,3,"2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27","m","avena sterilis",FALSE,"Streptophyta","Magnoliopsida","Poales","Poaceae","Avena","Avena sterilis",FALSE,TRUE,TRUE,TRUE
"1276",1276,1276,1276,"N630740","otu361",47,"Tiefenbach","m",6,2024,"black","-2",8,"no",97,37,3,2,0,"30",NA,NA,2102,122,97,21.5,9.5,NA,NA,NA,35,17,27,3,"2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1277",1277,1277,1277,"N630740","otu180",2267,"Tiefenbach","m",6,2024,"black","-2",8,"no",97,37,3,2,0,"30",NA,NA,2102,122,97,21.5,9.5,NA,NA,NA,35,17,27,3,"2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27","m","unclassified",NA,"Streptophyta","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified",NA,NA,NA,NA
"1278",1278,1278,1278,"N630740","otu38",31064,"Tiefenbach","m",6,2024,"black","-2",8,"no",97,37,3,2,0,"30",NA,NA,2102,122,97,21.5,9.5,NA,NA,NA,35,17,27,3,"2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1279",1279,1279,1279,"N630740","otu7",881583,"Tiefenbach","m",6,2024,"black","-2",8,"no",97,37,3,2,0,"30",NA,NA,2102,122,97,21.5,9.5,NA,NA,NA,35,17,27,3,"2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27","m","anthyllis vulneraria",TRUE,"Streptophyta","Magnoliopsida","Fabales","Fabaceae","Anthyllis","Anthyllis vulneraria",TRUE,FALSE,FALSE,FALSE
"1280",1280,1280,1280,"N630740","otu40",976,"Tiefenbach","m",6,2024,"black","-2",8,"no",97,37,3,2,0,"30",NA,NA,2102,122,97,21.5,9.5,NA,NA,NA,35,17,27,3,"2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27","m","zea mays",FALSE,"Streptophyta","Magnoliopsida","Poales","Poaceae","Zea","Zea mays",FALSE,TRUE,TRUE,TRUE
"1281",1281,1281,1281,"N630740","otu18",1665,"Tiefenbach","m",6,2024,"black","-2",8,"no",97,37,3,2,0,"30",NA,NA,2102,122,97,21.5,9.5,NA,NA,NA,35,17,27,3,"2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27","m","unclassified",NA,"Streptophyta","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1282",1282,1282,1282,"N630740","otu390",6,"Tiefenbach","m",6,2024,"black","-2",8,"no",97,37,3,2,0,"30",NA,NA,2102,122,97,21.5,9.5,NA,NA,NA,35,17,27,3,"2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27","m","unclassified",NA,"Streptophyta","Magnoliopsida","Poales","Poaceae","Setaria","Unclassified",NA,FALSE,FALSE,FALSE
"1283",1283,1283,1283,"N630740","otu53",3659,"Tiefenbach","m",6,2024,"black","-2",8,"no",97,37,3,2,0,"30",NA,NA,2102,122,97,21.5,9.5,NA,NA,NA,35,17,27,3,"2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27","m","unclassified",NA,"Streptophyta","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified",NA,NA,NA,NA
"1284",1284,1284,1284,"N630740","otu716",6,"Tiefenbach","m",6,2024,"black","-2",8,"no",97,37,3,2,0,"30",NA,NA,2102,122,97,21.5,9.5,NA,NA,NA,35,17,27,3,"2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27","m","calystegia sepium",FALSE,"Streptophyta","Magnoliopsida","Solanales","Convolvulaceae","Calystegia","Calystegia sepium",FALSE,FALSE,FALSE,FALSE
"1285",1285,1285,1285,"N630740","otu24",54570,"Tiefenbach","m",6,2024,"black","-2",8,"no",97,37,3,2,0,"30",NA,NA,2102,122,97,21.5,9.5,NA,NA,NA,35,17,27,3,"2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27","m","unclassified",NA,"Streptophyta","Magnoliopsida","Poales","Poaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1286",1286,1286,1286,"N630740","otu562",12,"Tiefenbach","m",6,2024,"black","-2",8,"no",97,37,3,2,0,"30",NA,NA,2102,122,97,21.5,9.5,NA,NA,NA,35,17,27,3,"2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27","m","unclassified",NA,"Streptophyta","Magnoliopsida","Unclassified","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1287",1287,1287,1287,"N630740","otu51",27,"Tiefenbach","m",6,2024,"black","-2",8,"no",97,37,3,2,0,"30",NA,NA,2102,122,97,21.5,9.5,NA,NA,NA,35,17,27,3,"2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27","m","unclassified",NA,"Streptophyta","Magnoliopsida","Poales","Poaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1288",1288,1288,1288,"N630740","otu804",23,"Tiefenbach","m",6,2024,"black","-2",8,"no",97,37,3,2,0,"30",NA,NA,2102,122,97,21.5,9.5,NA,NA,NA,35,17,27,3,"2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27","m","unclassified",NA,"Streptophyta","Magnoliopsida","Poales","Poaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1289",1289,1289,1289,"N630740","otu37",313517,"Tiefenbach","m",6,2024,"black","-2",8,"no",97,37,3,2,0,"30",NA,NA,2102,122,97,21.5,9.5,NA,NA,NA,35,17,27,3,"2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27","m","unclassified",NA,"Streptophyta","Magnoliopsida","Unclassified","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1290",1290,1290,1290,"N630740","otu114",7,"Tiefenbach","m",6,2024,"black","-2",8,"no",97,37,3,2,0,"30",NA,NA,2102,122,97,21.5,9.5,NA,NA,NA,35,17,27,3,"2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27","m","unclassified",NA,"Streptophyta","Magnoliopsida","Malpighiales","Salicaceae","Salix","Unclassified",NA,FALSE,FALSE,FALSE
"1291",1291,1291,1291,"N630740","otu397",2,"Tiefenbach","m",6,2024,"black","-2",8,"no",97,37,3,2,0,"30",NA,NA,2102,122,97,21.5,9.5,NA,NA,NA,35,17,27,3,"2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27","m","unclassified",NA,"Streptophyta","Magnoliopsida","Ericales","Ericaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1292",1292,1292,1292,"N630740","otu911",7,"Tiefenbach","m",6,2024,"black","-2",8,"no",97,37,3,2,0,"30",NA,NA,2102,122,97,21.5,9.5,NA,NA,NA,35,17,27,3,"2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27","m","unclassified",NA,"Streptophyta","Magnoliopsida","Unclassified","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1293",1293,1293,1293,"N630740","otu485",85,"Tiefenbach","m",6,2024,"black","-2",8,"no",97,37,3,2,0,"30",NA,NA,2102,122,97,21.5,9.5,NA,NA,NA,35,17,27,3,"2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27","m","unclassified",NA,"Streptophyta","Magnoliopsida","Fabales","Fabaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1294",1294,1294,1294,"N630740","otu63",2295,"Tiefenbach","m",6,2024,"black","-2",8,"no",97,37,3,2,0,"30",NA,NA,2102,122,97,21.5,9.5,NA,NA,NA,35,17,27,3,"2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27","m","unclassified",NA,"Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Brassica","Unclassified",NA,FALSE,FALSE,FALSE
"1295",1295,1295,1295,"N630740","otu75",9,"Tiefenbach","m",6,2024,"black","-2",8,"no",97,37,3,2,0,"30",NA,NA,2102,122,97,21.5,9.5,NA,NA,NA,35,17,27,3,"2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27","m","unclassified",NA,"Streptophyta","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified",NA,NA,NA,NA
"1296",1296,1296,1296,"N630740","otu284",11,"Tiefenbach","m",6,2024,"black","-2",8,"no",97,37,3,2,0,"30",NA,NA,2102,122,97,21.5,9.5,NA,NA,NA,35,17,27,3,"2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27","m","unclassified",NA,"Streptophyta","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified",NA,NA,NA,NA
"1297",1297,1297,1297,"N630740","otu17",858,"Tiefenbach","m",6,2024,"black","-2",8,"no",97,37,3,2,0,"30",NA,NA,2102,122,97,21.5,9.5,NA,NA,NA,35,17,27,3,"2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27","m","unclassified",NA,"Streptophyta","Magnoliopsida","Poales","Poaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1298",1298,1298,1298,"N630803","otu816",4,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Magnoliopsida","Sapindales","Sapindaceae","Aesculus","Unclassified",NA,FALSE,FALSE,FALSE
"1299",1299,1299,1299,"N630803","otu15",7184,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Magnoliopsida","Ericales","Primulaceae","Primula","Unclassified",NA,FALSE,FALSE,FALSE
"1300",1300,1300,1300,"N630803","otu32",209,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","vaccinium vitis-idaea",TRUE,"Streptophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","Vaccinium vitis-idaea",TRUE,FALSE,FALSE,FALSE
"1301",1301,1301,1301,"N630803","otu39",12321,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","trifolium pratense",TRUE,"Streptophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium","Trifolium pratense",TRUE,FALSE,FALSE,FALSE
"1302",1302,1302,1302,"N630803","otu140",1102,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Magnoliopsida","Gentianales","Gentianaceae","Gentiana","Unclassified",NA,FALSE,FALSE,FALSE
"1303",1303,1303,1303,"N630803","otu84",149,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Silene","Unclassified",NA,FALSE,FALSE,FALSE
"1304",1304,1304,1304,"N630803","otu22",2994,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1305",1305,1305,1305,"N630803","otu914",11,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Magnoliopsida","Unclassified","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1306",1306,1306,1306,"N630803","otu4",788,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Magnoliopsida","Sapindales","Sapindaceae","Aesculus","Unclassified",NA,FALSE,FALSE,FALSE
"1307",1307,1307,1307,"N630803","otu603",30,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Magnoliopsida","Unclassified","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1308",1308,1308,1308,"N630803","otu150",3378,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","gentiana acaulis",TRUE,"Streptophyta","Magnoliopsida","Gentianales","Gentianaceae","Gentiana","Gentiana acaulis",TRUE,FALSE,FALSE,FALSE
"1309",1309,1309,1309,"N630803","otu894",2,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Magnoliopsida","Asterales","Asteraceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1310",1310,1310,1310,"N630803","otu496",3,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Magnoliopsida","Unclassified","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1311",1311,1311,1311,"N630803","otu275",434,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Magnoliopsida","Fabales","Fabaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1312",1312,1312,1312,"N630803","otu54",1809,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Magnoliopsida","Ericales","Ericaceae","Arbutus","Unclassified",NA,FALSE,FALSE,FALSE
"1313",1313,1313,1313,"N630803","otu463",3,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Magnoliopsida","Asterales","Asteraceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1314",1314,1314,1314,"N630803","otu2",1674,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","cannabis sativa",FALSE,"Streptophyta","Magnoliopsida","Rosales","Cannabaceae","Cannabis","Cannabis sativa",FALSE,TRUE,TRUE,TRUE
"1315",1315,1315,1315,"N630803","otu389",2,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Magnoliopsida","Asterales","Asteraceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1316",1316,1316,1316,"N630803","otu13",269808,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Pinopsida","Cupressales","Cupressaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1317",1317,1317,1317,"N630803","otu715",2,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1318",1318,1318,1318,"N630803","otu178",94,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified",NA,NA,NA,NA
"1319",1319,1319,1319,"N630803","otu917",1868,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1320",1320,1320,1320,"N630803","otu6",631,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","vaccinium vitis-idaea",TRUE,"Streptophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","Vaccinium vitis-idaea",TRUE,FALSE,FALSE,FALSE
"1321",1321,1321,1321,"N630803","otu89",16,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Magnoliopsida","Poales","Cyperaceae","Carex","Unclassified",NA,FALSE,FALSE,FALSE
"1322",1322,1322,1322,"N630803","otu273",2,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified",NA,NA,NA,NA
"1323",1323,1323,1323,"N630803","otu787",3,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1324",1324,1324,1324,"N630803","otu259",68,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Magnoliopsida","Unclassified","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1325",1325,1325,1325,"N630803","otu1",3251027,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Magnoliopsida","Asterales","Asteraceae","Unclassified","Unclassified",NA,TRUE,TRUE,TRUE
"1326",1326,1326,1326,"N630803","otu905",3,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1327",1327,1327,1327,"N630803","otu788",3,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1328",1328,1328,1328,"N630803","otu14",1019,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","silene vulgaris",TRUE,"Streptophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Silene","Silene vulgaris",TRUE,FALSE,FALSE,FALSE
"1329",1329,1329,1329,"N630803","otu843",2,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1330",1330,1330,1330,"N630803","otu916",17,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","Unclassified",NA,FALSE,FALSE,FALSE
"1331",1331,1331,1331,"N630803","otu7",71890,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","anthyllis vulneraria",TRUE,"Streptophyta","Magnoliopsida","Fabales","Fabaceae","Anthyllis","Anthyllis vulneraria",TRUE,FALSE,FALSE,FALSE
"1332",1332,1332,1332,"N630803","otu10",512,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Magnoliopsida","Poales","Poaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1333",1333,1333,1333,"N630803","otu499",6,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","vaccinium oxycoccos",FALSE,"Streptophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","Vaccinium oxycoccos",FALSE,FALSE,FALSE,FALSE
"1334",1334,1334,1334,"N630803","otu695",3,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"1335",1335,1335,1335,"N630803","otu50",45,"Distelboden","m",6,2023,"grey","0",8,"no",94,53.5,6,2,2,"10",NA,NA,1898,126,94,23.5,2,NA,NA,NA,30,11,12,1,"2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12","m","unclassified",NA,"Streptophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
